city,country,HotelName,latitude,longitude,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,has_airport,is_short_trip,is_one_week,temp_avg_yearly,budget_level_encoded,HotelRating_encoded,rating_was_unknown,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_oceania,region_south_america
Phnom Penh,Cambodia,La Rose Boutique Hotel & Spa,11.5730391,104.857807,4,3,2,1,3,4,2,3,2,0,1,1,29.05,1,4.0,0,False,True,False,False,False,False,False
Lucca,Italy,Albergo Pietrasanta,44.017763900000006,10.454430026192636,4,2,3,2,2,4,3,3,4,0,1,0,6.788888888888889,2,4.0,0,False,False,True,False,False,False,False
Barcelona,Spain,Nh Numancia,41.3828939,2.1774322,5,3,3,4,5,5,3,5,2,1,1,1,16.858333333333334,2,4.0,0,False,False,True,False,False,False,False
Santiago de Chile,Chile,Torre Tagle Santiago Centro Santo Domingo,-33.4377756,-70.6504502,4,4,4,2,4,4,3,4,2,0,1,1,15.299999999999999,2,3.0,0,False,False,False,False,False,False,True
Shanghai,China,Lansheng,31.2312707,121.4700152,5,3,2,1,5,5,3,5,2,1,1,1,18.358333333333334,2,4.0,0,False,True,False,False,False,False,False
Kathmandu,Nepal,Hotel Northfield,27.708317,85.3205817,5,4,4,1,2,4,3,3,2,1,1,1,18.591666666666665,1,3.0,0,False,True,False,False,False,False,False
Auckland,New Zealand,"Fable Auckland, MGallery(Ex.Grand Windsor Hotel)",-36.852095,174.7631803,3,4,4,3,4,4,3,4,2,1,1,1,15.716666666666667,2,5.0,0,False,False,False,False,False,True,False
Cartagena,Colombia,Radisson Cartagena Ocean Pavillion Hotel,10.4265566,-75.5441671,5,3,3,4,4,4,3,4,2,1,1,1,28.316666666666666,2,4.0,0,False,False,False,False,False,False,True
Dubrovnik,Croatia,Villa Gloria,42.6491029,18.0939501,5,3,4,4,3,4,3,3,2,1,1,0,17.141666666666666,2,3.0,0,False,False,True,False,False,False,False
Bergen,Norway,Augustin Hotel,60.3943055,5.3259192,4,4,5,2,3,3,3,3,4,1,1,1,8.799999999999999,3,3.0,0,False,False,True,False,False,False,False
Bocas del Toro,Panama,Swans Cay Hotel,9.26847485,-81.99322424821933,3,4,5,5,3,3,3,2,4,0,1,1,25.958333333333332,2,3.0,0,False,False,False,False,True,False,False
Santo Domingo,Dominican Republic,Bahia Principe Luxury Bouganville,18.4801972,-69.942111,4,3,3,4,4,4,3,4,2,1,1,1,26.316666666666666,2,4.0,0,False,False,False,False,True,False,False
Cairo,Egypt,Sofitel Cairo Nile El Gezirah,30.0443879,31.2357257,5,3,3,2,3,4,3,4,2,1,1,1,23.458333333333332,1,5.0,0,True,False,False,False,False,False,False
Iquitos,Peru,Pacaya Samiria Amazon Lodge,-3.749365,-73.2444145,3,5,5,1,2,3,2,2,4,1,1,1,26.150000000000002,1,3.0,1,False,False,False,False,False,False,True
Marseille,France,B&b Marseille Centre La Timone,43.2961743,5.3699525,4,3,3,3,4,4,3,4,2,1,1,1,16.349999999999998,2,2.0,0,False,False,True,False,False,False,False
Sofia,Bulgaria,Art Hotel Simona,42.6977028,23.3217359,4,3,3,1,3,4,3,3,2,1,1,1,12.654545454545454,1,3.0,0,False,False,True,False,False,False,False
San Marino,San Marino,San Giuseppe,43.9458623,12.458306,4,2,3,1,2,3,2,3,4,0,0,0,15.091666666666667,2,4.0,0,False,False,True,False,False,False,False
Berlin,Germany,Generator Berlin Prenzlauer Berg,52.510885,13.3989367,5,3,2,1,5,4,3,5,2,1,1,1,11.049999999999999,2,3.0,1,False,False,True,False,False,False,False
Helsinki,Finland,Radisson Blu Plaza Hotel Helsinki,60.1674881,24.9427473,4,3,4,2,3,4,4,4,3,1,1,1,9.26,2,4.0,0,False,False,True,False,False,False,False
Warsaw,Poland,Colibra,52.2337172,21.071432235636493,4,2,3,1,4,4,3,4,2,1,1,1,10.299999999999999,2,3.0,0,False,False,True,False,False,False,False
Verona,Italy,Montresor Hotel Palace,45.4424977,10.985737689444765,5,2,3,1,3,4,3,4,3,1,1,0,14.35,2,4.0,0,False,False,True,False,False,False,False
Annecy,France,Annecy Hostel,45.8992348,6.1288847,4,4,5,3,3,4,3,3,4,1,1,0,11.924999999999999,2,3.0,0,False,False,True,False,False,False,False
Colombo,Sri Lanka,Zylan Luxury Villa,6.9388614,79.8542005,4,3,3,3,3,4,3,4,2,1,1,1,28.058333333333334,1,3.0,0,False,True,False,False,False,False,False
Dakar,Senegal,Lodge Des Almadies,14.693425,-17.447938,4,3,3,4,3,4,3,3,2,1,1,1,25.041666666666668,2,3.0,0,True,False,False,False,False,False,False
Wadi Rum,Jordan,Rum Wonders Camp,29.5084443,35.3362154,3,5,5,1,1,3,3,1,5,0,1,1,25.391666666666666,2,1.0,0,False,False,False,True,False,False,False
Munich,Germany,City Pension Erding,48.1371079,11.5753822,5,3,3,1,4,4,3,5,2,1,1,0,10.916666666666666,2,2.0,0,False,False,True,False,False,False,False
Freiburg,Germany,Jugendherberge Freiburg,47.9960901,7.8494005,4,3,5,1,3,3,3,3,4,1,1,0,10.791666666666666,2,3.0,1,False,False,True,False,False,False,False
Singapore,Singapore,Carlton City Hotel Singapore,1.2899175,103.8519072,4,3,3,3,4,5,4,5,2,1,1,1,28.416666666666668,3,5.0,0,False,True,False,False,False,False,False
Piran,Slovenia,Terme Krka Strunjan - Villas,45.5284919,13.5684485,4,3,4,4,3,4,3,3,4,0,1,0,15.075000000000001,2,3.0,0,False,False,True,False,False,False,False
Valletta,Malta,Luciano Valletta Boutique,35.8989979,14.5136607,5,2,3,3,3,4,3,3,2,0,1,0,19.741666666666667,2,3.0,1,False,False,True,False,False,False,False
Thessaloniki,Greece,Pension Delfini,40.6403167,22.9352716,4,3,3,3,4,5,3,4,2,1,1,1,16.866666666666667,2,2.0,0,False,False,True,False,False,False,False
Valencia,Spain,Senator Parque Central Hotel,39.4697065,-0.3763353,4,3,4,4,4,5,3,4,3,1,1,1,18.558333333333334,2,4.0,0,False,False,True,False,False,False,False
Hoi An,Vietnam,Lotus Hoi An Boutique Hotel & Spa,15.8795863,108.3319406,5,3,3,3,2,5,3,2,4,0,1,0,26.833333333333332,1,3.0,0,False,True,False,False,False,False,False
Budapest,Hungary,Corinthia Hotel Budapest,47.48138955,19.14609412691246,5,3,3,1,5,4,5,4,2,1,1,1,12.383333333333333,2,5.0,0,False,False,True,False,False,False,False
Yogyakarta,Indonesia,Grand Aston Yogyakarta,-7.8011998,110.3646608,5,3,4,2,3,4,3,3,3,1,1,1,27.849999999999998,1,5.0,0,False,True,False,False,False,False,False
Monaco,Monaco,Hôtel Hermitage,43.7323492,7.4276832,4,2,3,3,5,4,3,5,2,0,0,0,15.858333333333333,3,5.0,0,False,False,True,False,False,False,False
Rome,Italy,Hotel Corona,41.8933203,12.4829321,5,3,3,2,4,5,3,5,2,1,1,1,16.633333333333333,2,3.0,0,False,False,True,False,False,False,False
Stockholm,Sweden,Clarion Hotel Stockholm,59.3251172,18.0710935,4,3,4,2,4,4,3,5,3,1,1,1,9.790000000000001,3,4.0,0,False,False,True,False,False,False,False
Taipei,Taiwan,Fullon Hotel Tamsui Fishermen's Wharf,25.0375198,121.5636796,4,3,3,2,4,5,3,4,2,1,1,1,24.03333333333333,2,4.0,0,False,True,False,False,False,False,False
Tokyo,Japan,Imperial Hotel Tokyo,35.6768601,139.7638947,5,2,2,1,5,5,3,5,1,1,1,1,16.666666666666668,3,5.0,0,False,True,False,False,False,False,False
Noumea,New Caledonia,Le Meridien Noumea,-22.2745264,166.442419,3,3,4,4,3,4,3,3,3,1,1,1,23.641666666666666,3,5.0,0,False,False,False,False,False,True,False
Palermo,Italy,Villa Palamara 1868,38.1112268,13.3524434,4,2,3,3,3,5,3,4,2,1,1,1,19.241666666666667,2,3.0,0,False,False,True,False,False,False,False
Sicily,Italy,Residenza delle Palme,37.587794,14.155048,5,3,4,4,3,5,3,3,3,0,1,1,14.450000000000001,2,3.0,0,False,False,True,False,False,False,False
Amman,Jordan,Crowne Plaza Amman,31.9515694,35.9239625,4,3,3,1,3,4,3,4,2,1,1,1,18.658333333333335,2,5.0,0,False,False,False,True,False,False,False
Nairobi,Kenya,Villa Rosa Kempinski,-1.30261485,36.82884201813725,4,4,5,1,3,3,3,4,2,1,1,1,19.933333333333334,2,5.0,0,True,False,False,False,False,False,False
Panama City,Panama,The Westin Panama,8.9714493,-79.5341802,4,3,4,3,4,4,3,4,2,1,1,1,27.075,2,4.0,0,False,False,False,False,True,False,False
Nagoya,Japan,APA Villa Hotel Nagoya Marunouchi Ekimae,35.1851045,136.8998438,4,2,3,1,3,4,3,4,2,1,1,0,16.474999999999998,3,3.0,0,False,True,False,False,False,False,False
Fukuoka,Japan,Dukes Hakata Hotel,33.6251241,130.6180016,4,3,3,3,4,5,3,4,2,1,1,1,16.6,2,3.0,0,False,True,False,False,False,False,False
Mexico City,Mexico,Hotel Amigo Zocalo,19.3207722,-99.1514677512441,5,3,3,1,5,5,3,5,2,1,1,1,17.033333333333335,2,3.0,0,False,False,False,False,True,False,False
Doha,Qatar,Souq Waqif Boutique Hotels - Tivoli,25.2856329,51.5264162,4,3,2,3,3,4,4,5,2,1,1,1,28.96666666666667,3,5.0,0,False,False,False,True,False,False,False
Luang Prabang,Laos,Victoria Xiengthong Palace,19.8887438,102.135898,5,3,4,1,2,4,4,2,5,1,1,0,26.8,1,4.0,0,False,True,False,False,False,False,False
Oaxaca,Mexico,Hotel Boutique Parador San Miguel Oaxaca,17.0,-96.5,5,3,4,2,3,5,3,3,3,1,1,1,20.599999999999998,2,3.0,0,False,False,False,False,True,False,False
Kaunas,Lithuania,Best Western Santakos Hotel,54.8982139,23.9044817,4,2,3,1,3,3,3,3,3,1,1,0,10.45,1,4.0,0,False,False,True,False,False,False,False
Kuching,Malaysia,Citadines Uplands Kuching,1.5597561,110.345397,4,3,4,2,3,4,3,3,4,1,1,0,27.016666666666666,1,4.0,0,False,True,False,False,False,False,False
Port Louis,Mauritius,St Georges Hotel,-20.1624522,57.5028044,4,3,4,5,3,4,3,3,2,0,1,1,21.808333333333334,2,3.0,0,True,False,False,False,False,False,False
Salalah,Oman,Waves Suites Salalah,17.0174945,54.1010923,3,3,5,4,2,3,3,2,4,1,1,1,26.941666666666666,2,3.0,0,False,False,False,True,False,False,False
Pretoria,South Africa,Protea Hatfield Apartments,-25.7459277,28.1879101,4,3,4,1,3,4,3,4,2,1,1,0,19.191666666666666,2,3.0,0,True,False,False,False,False,False,False
Monterrey,Mexico,Novotel Monterrey Valle,25.6802019,-100.315258,4,3,4,1,4,4,3,4,2,1,1,0,22.616666666666664,2,4.0,0,False,False,False,False,True,False,False
Oslo,Norway,Thon Hotel Astoria,59.9133301,10.7389701,4,3,4,2,3,4,4,4,3,1,1,1,10.38888888888889,3,3.0,0,False,False,True,False,False,False,False
Rabat,Morocco,La Tour Hassan Palace,33.9851778,-6.8461433,4,2,3,3,3,4,3,4,3,1,1,1,17.591666666666665,1,5.0,0,True,False,False,False,False,False,False
Arequipa,Peru,White Tower Villa,-16.3988667,-71.5369607,4,3,4,1,3,4,3,3,3,1,1,1,15.908333333333333,1,3.0,0,False,False,False,False,False,False,True
Krakow,Poland,Campanile Cracovie,50.0619474,19.9368564,5,2,3,1,4,4,3,4,2,1,1,1,10.818181818181818,2,3.0,0,False,False,True,False,False,False,False
Chiang Rai,Thailand,Ibis Styles Chiang Khong Riverfront,19.7589517,99.6734592,4,3,4,1,2,4,3,2,4,1,1,0,25.266666666666666,1,3.0,0,False,True,False,False,False,False,False
Christchurch,New Zealand,Peppers Clearwater Resort,-43.530955,172.6364343,3,4,4,3,3,3,3,3,3,1,1,1,11.975,2,4.0,0,False,False,False,False,False,True,False
San Juan,Puerto Rico,Royal Sonesta San Juan,18.38423905,-66.05343997364733,4,3,3,5,4,4,3,4,2,1,1,1,27.400000000000002,2,4.0,0,False,False,False,False,True,False,False
Manila,Philippines,Greenhills Elan Hotel Modern,14.5904492,120.9803621,4,3,2,2,4,4,3,4,1,1,1,1,28.683333333333334,1,3.0,0,False,True,False,False,False,False,False
Bern,Switzerland,Berggasthof Gurnigelbad,46.9484742,7.4521749,4,3,4,1,3,4,4,4,3,1,1,1,10.233333333333333,3,3.0,1,False,False,True,False,False,False,False
Catania,Italy,Hotel Pomara,37.5023612,15.0873718,4,3,4,3,3,5,3,3,2,1,1,1,18.224999999999998,2,3.0,0,False,False,True,False,False,False,False
Davao,Philippines,My Hotel,7.0648306,125.6080623,3,4,5,3,3,4,3,3,4,1,1,1,27.991666666666664,1,2.0,0,False,True,False,False,False,False,False
Porto,Portugal,Porta Azul,41.1494512,-8.6107884,4,3,3,3,4,5,3,4,3,1,1,1,15.241666666666667,2,3.0,0,False,False,True,False,False,False,False
Constanta,Romania,Comandor,44.1767161,28.6507598,3,3,3,4,3,4,3,3,2,1,1,0,13.716666666666667,1,4.0,0,False,False,True,False,False,False,False
Puerto Vallarta,Mexico,Occidental Nuevo Vallarta All inclusive,20.6407176,-105.220306,3,4,4,5,4,4,4,3,3,1,1,1,23.46666666666667,2,4.0,0,False,False,False,False,True,False,False
Cape Town,South Africa,Romney Park Luxury Apartments,-33.9288301,18.4172197,4,4,5,4,4,4,3,4,3,1,1,1,17.075,2,4.0,0,True,False,False,False,False,False,False
Madrid,Spain,NH Collection Madrid Abascal,40.4167047,-3.7035825,5,3,2,1,5,5,3,5,2,1,1,1,16.216666666666665,2,4.0,0,False,False,True,False,False,False,False
Nantes,France,Campanile Nantes Oust - Saint Herblain,47.2186371,-1.5541362,4,2,3,2,3,4,3,4,3,1,1,1,13.091666666666667,2,3.0,0,False,False,True,False,False,False,False
Victoria,Seychelles,The Quadrant Luxury Apartments,-4.6232085,55.452359,3,4,5,5,3,4,4,2,4,0,1,1,27.650000000000002,3,3.0,1,True,False,False,False,False,False,False
Ljubljana,Slovenia,Hotel Mrak,46.0500268,14.5069289,4,3,4,1,3,4,3,4,3,1,1,1,12.116666666666667,2,3.0,0,False,False,True,False,False,False,False
Chengdu,China,Lia Chengdu Hotel,30.6598628,104.0633717,5,3,4,1,3,5,3,4,2,1,1,1,18.516666666666666,2,4.0,0,False,True,False,False,False,False,False
Stone Town,Tanzania,Kisiwa House,-6.16265285,39.18965515249984,5,3,3,4,3,4,3,3,3,0,1,0,27.224999999999998,1,5.0,0,True,False,False,False,False,False,False
Johannesburg,South Africa,Protea Hatfield Apartments,-26.205,28.049722,4,3,3,1,4,4,3,5,2,1,1,1,16.825,2,3.0,0,True,False,False,False,False,False,False
Busan,South Korea,Samwonjang Motel,35.1799528,129.0752365,4,3,4,4,4,5,3,4,2,1,1,1,15.458333333333334,2,2.0,0,False,True,False,False,False,False,False
Seville,Spain,Alcazar,37.3886303,-5.9953403,5,3,2,1,4,5,3,4,2,0,1,1,19.2,2,3.0,0,False,False,True,False,False,False,False
Bangkok,Thailand,Prom Ratchada Residence and Spa,13.7524938,100.4935089,5,3,2,2,5,5,4,5,1,1,0,1,29.258333333333336,1,3.0,0,False,True,False,False,False,False,False
Belfast,United Kingdom,The Merchant Hotel,54.596391,-5.9301829,4,3,3,2,3,4,3,4,2,1,1,1,10.125,2,5.0,0,False,False,True,False,False,False,False
Odessa,Ukraine,Odessa,46.4843023,30.7322878,4,3,3,4,4,4,3,4,2,1,1,1,12.35,1,4.0,0,False,False,True,False,False,False,False
Krabi,Thailand,Somkiet Buri Resort,8.0634637,98.9162345,3,4,5,5,3,4,4,2,4,1,1,1,26.916666666666668,1,3.0,0,False,True,False,False,False,False,False
Muscat,Oman,Garden Hotel Muscat,23.5882019,58.3829448,4,3,4,4,2,4,3,3,4,1,1,1,28.900000000000002,2,3.0,1,False,False,False,True,False,False,False
Galle,Sri Lanka,Deco on 44,6.0328139,80.214955,4,3,4,4,2,4,3,3,4,0,1,0,28.375,1,3.0,0,False,True,False,False,False,False,False
Gdansk,Poland,Hotel Haffner,54.42880315,18.79832701217957,4,2,3,3,3,4,3,4,2,1,1,0,9.491666666666665,2,5.0,0,False,False,True,False,False,False,False
Tunis,Tunisia,The Residence Tunis,36.8002068,10.1857757,4,3,3,3,3,4,3,3,2,1,1,0,20.05,1,5.0,0,True,False,False,False,False,False,False
Rotorua,New Zealand,Alpin Motel & Conference Centre,-38.1381493,176.252922,4,4,5,2,3,3,5,3,3,1,1,0,12.183333333333332,2,3.0,0,False,False,False,False,False,True,False
El Chaltén,Argentina,Posada Y Cabanas El Barranco,-49.3319564,-72.8860438,2,5,5,1,2,3,3,1,4,0,1,1,3.185714285714286,1,3.0,0,False,False,False,False,False,False,True
Chefchaouen,Morocco,Dar el Moualim,35.1700832,-5.2766582971063976,4,3,4,1,2,4,3,2,4,0,1,0,19.183333333333334,1,2.0,0,True,False,False,False,False,False,False
Ronda,Spain,Sevilla,36.7421339,-5.1665916,4,3,4,1,2,4,3,2,4,0,1,0,18.608333333333334,2,4.0,0,False,False,True,False,False,False,False
London,United Kingdom,Sofitel London St James,51.4893335,-0.1440550845276872,5,2,3,1,5,5,3,5,2,1,1,1,11.316666666666668,3,5.0,0,False,False,True,False,False,False,False
Namibia,Namibia,Aloegrove Safari Lodge,-23.2335499,17.3231107,3,5,5,2,2,3,3,2,5,0,0,1,21.008333333333333,2,2.0,0,True,False,False,False,False,False,False
Tulum,Mexico,Grand Slam Fishing Lodge,20.429647,-87.6529306,3,4,4,5,3,4,5,2,4,0,1,1,27.15833333333333,2,4.0,0,False,False,False,False,True,False,False
Yangshuo,China,Vienna Hotel (Guilin Yangshuo Branch),24.8630286,110.4871831,3,4,5,2,2,3,3,2,4,0,1,1,20.116666666666667,1,4.0,0,False,True,False,False,False,False,False
Kuala Lumpur,Malaysia,Melia Kuala Lumpur,3.1526589,101.7022205,4,3,3,2,4,5,3,5,2,1,1,1,28.091666666666665,2,4.0,0,False,True,False,False,False,False,False
Cornwall,United Kingdom,St Michael s Hotel & Spa,50.4433489,-4.62465658489158,3,4,5,5,2,3,3,2,4,0,1,1,12.0,2,4.0,0,False,False,True,False,False,False,False
Siem Reap,Cambodia,Angkor Sayana Hotel & Spa,13.3617562,103.8590321,5,3,4,1,3,4,3,3,3,0,1,1,28.075,1,3.0,0,False,True,False,False,False,False,False
Valdivia,Chile,Dreams Pedro de Valdivia,-39.8141262,-73.2459859,3,4,4,3,3,4,3,3,4,1,1,1,11.275,2,4.0,0,False,False,False,False,False,False,True
Salta,Argentina,La Candela,-25.1076701,-64.3494964,4,4,5,1,3,4,3,3,4,1,1,1,16.708333333333332,2,3.0,0,False,False,False,False,False,False,True
Split,Croatia,Jupiter Luxury Hotel,43.5116383,16.4399659,4,3,4,4,4,4,3,3,3,1,1,1,17.766666666666666,2,4.0,0,False,False,True,False,False,False,False
Florence,Italy,UNAHOTELS Vittoria Firenze,43.7697955,11.2556404,5,2,3,1,3,5,3,4,2,1,1,1,16.316666666666666,2,4.0,0,False,False,True,False,False,False,False
Bordeaux,France,Quick Palace,44.841225,-0.5800364,4,2,3,2,3,5,3,4,3,1,1,1,14.424999999999999,2,2.0,0,False,False,True,False,False,False,False
Strasbourg,France,Hôtel La Diligence,48.584614,7.7507127,5,2,3,1,3,4,3,4,3,1,1,1,12.1,2,4.0,0,False,False,True,False,False,False,False
Palau,Palau,Palau Carolines Resort,5.3783537,132.9102573,3,5,5,5,2,3,3,2,4,0,0,1,26.925,3,3.0,0,False,False,False,False,False,True,False
St. George's,Grenada,Laluna Hotel,12.0535331,-61.751805,3,3,4,5,3,4,4,2,4,0,1,1,27.791666666666668,2,4.0,0,False,False,False,False,True,False,False
Debrecen,Hungary,Stop Panzio,47.531399,21.6259782,3,2,3,1,3,3,3,3,3,1,1,0,11.941666666666668,1,2.0,0,False,False,True,False,False,False,False
Taormina,Italy,Hotel  Inn,37.8512218,15.2830191,4,3,4,4,3,5,3,3,4,0,1,1,19.391666666666666,2,3.0,0,False,False,True,False,False,False,False
Takayama,Japan,Miyama Ouan,36.1396246,137.2510322,5,2,4,1,2,4,3,2,4,0,1,0,13.218181818181819,2,4.0,0,False,True,False,False,False,False,False
Caracas,Venezuela,The Vip Caracas,10.5060934,-66.9146008,4,3,4,3,3,4,2,3,2,1,1,1,23.3,1,3.0,0,False,False,False,False,False,False,True
Da Lat,Vietnam,Empress Hotel Dalat,11.9373899,108.4286786,3,4,5,1,2,4,4,3,4,0,1,0,20.266666666666666,1,2.0,0,False,True,False,False,False,False,False
Sapa,Vietnam,Holiday Sapa,22.3359246,103.8426749,4,4,5,1,2,3,3,2,4,0,1,1,15.875,1,3.0,0,False,True,False,False,False,False,False
Guadalajara,Mexico,Pequeño Hotel Ejecutivo,20.6720375,-103.338396,5,3,3,1,4,5,3,4,2,1,1,1,20.433333333333334,2,4.0,0,False,False,False,False,True,False,False
Wellington,New Zealand,Aaa Mana Motel,-41.2887953,174.7772114,4,3,4,3,4,4,3,4,2,1,1,1,14.225,2,3.0,0,False,False,False,False,False,True,False
San Pedro de Atacama,Chile,Hotel Kimal,-22.910832,-68.2001376,3,5,5,1,2,3,3,2,5,1,1,1,14.5,2,3.0,0,False,False,False,False,False,False,True
Siena,Italy,Hotel San Michele,43.16720595,11.467561040475552,5,2,3,1,2,4,3,3,4,1,1,0,14.683333333333332,2,3.0,0,False,False,True,False,False,False,False
Ghent,Belgium,Europahotel,51.0538286,3.7250121,5,2,3,1,4,4,3,4,2,0,1,0,11.933333333333332,2,3.0,0,False,False,True,False,False,False,False
Sao Paulo,Brazil,Estanplaza Nacoes Unidas,-23.5506507,-46.6333824,5,3,2,2,5,5,3,5,1,1,1,1,20.3,2,3.0,0,False,False,False,False,False,False,True
Monteverde,Costa Rica,Hotel Fonda Vela,10.29115145,-84.81364393886889,3,5,5,1,2,3,3,1,4,0,1,1,20.575,2,3.0,0,False,False,False,False,True,False,False
Birmingham,United Kingdom,Holiday Inn Express Birmingham Snow Hill,52.4796992,-1.9026911,4,2,3,1,3,4,3,4,2,1,1,1,10.9,2,3.0,0,False,False,True,False,False,False,False
Charlottetown,Canada,Dutch Inn,46.234953,-63.132935,4,3,4,3,2,3,3,2,4,1,1,0,11.8375,2,3.0,0,False,False,False,False,True,False,False
Suzhou,China,Zhangjiagang Zhonglian GDH International Hotel,31.311123,120.6212881,5,2,4,1,3,4,3,3,3,1,1,1,16.983333333333334,2,5.0,0,False,True,False,False,False,False,False
Sardinia,Italy,La Coluccia,40.0912813,9.0305773,3,4,5,5,3,4,4,3,4,0,1,1,17.891666666666666,2,5.0,0,False,False,True,False,False,False,False
Port Vila,Vanuatu,Tamanu on the Beach,-17.7414972,168.3150163,3,4,5,4,2,3,4,2,4,0,1,1,24.833333333333332,2,4.0,0,False,False,False,False,False,True,False
Sibiu,Romania,Mercure Medias Binderbubi Hotel And Spa,45.7973912,24.1519202,4,3,4,1,3,3,3,3,4,1,1,0,10.866666666666667,1,4.0,0,False,False,True,False,False,False,False
